1,Describe where you currently live and the town you grew up in.
2,"Describe your favorite places to visit, and things you like to do there."
3,Tell me about your family and your closest friends.
4,Describe everything that you do between waking in the morning and getting to class/work.
5,Describe your first job. Why did you choose this job?
6,Describe your favorite childhood memory.
7,Describe a scene from your favorite movie.
8,Describe what you usually do with your free time.
9,"Do you have any hobbies? If so, please describe what you like and dislike about them."
10,"Describe what you do on a typical weekend. if you could choose, what would you do on weekends?"
11,Tell me about the last movie you saw. Did you like it and what was the storyline?
12,Tell me about your favorite restaurant. What is your favorite food there and why? What is your least favorite food there and why?
13,Tell me about your childhood friends. What kind of things did you and your friends enjoy doing?
14,Do you have any siblings (or cousins)? What kind of things did you enjoy doing together when you were children? What about now?
15,"if you travel, can you tell me about the most interesting place you have every visited and why? If you could travel anywhere, where would you go and why?"
16,What foreign country would you like to visit and why? What would you do there?
17,Do you have any holiday plans this year? What do you usually do during the holidays?
18,Describe your last vacation. What did you eat? What places did you visit?
19,Describe your ideal vacation? Would you travel alone or with others? What would you do?
20,Describe the foods you like to eat. What characteristics of the food make it your favorite? What is your least favorite food? What characteristics of the food make it your least favorite?
21,Describe your wardrobe. How many pairs of shoes do you own? Do you like to wear shorts or pants more? What stores do you shop at?
22,What is your favorite drink – why and where can you get it?
23,"Do you enjoy desserts? If so, what is your favorite dessert?"
24,"Do you like ice cream? if so, what are your favorite flavors? Least favorite flavors?"
25,"If you had to pick a character from a movie or book who is most similar to you, who would you choose? Why?"
26,What is your biggest fear and why?
27,Who is your role model and why?
28,"If you were an animal, what animal would you be and why?"
29,"If you could celebrate your birthday any way you like, what would you want to do and why?"
30,What would your ideal city/town look like?
31,"If you could have any animal as a pet, what animal would you choose and why?"
32,Tell me about the strangest dream you have ever had?
33,Would you rather have a great car or a great house? Why?
34,Who is your favorite TV/Movie/Sports star and why?
35,"if you opened a restaurant, what would it look like? What kind of food would you serve?"
36,What was the best invention of the last 50 years?
37,Will technology save us or destroy us? Why?
38,What piece of technology would look like magic to someone from 1900?
39,"Do you prefer to live in a place with all 4 seasons, or a place where 1 season takes up most of the year? Why?"
40,"If you had to get rid of a holiday, which would you get rid of? Why?"
41,Do you love or hate buffets? Why?
42,"If you had to relive one day of your life forever, which day would you choose? Describe it."
43,"You find a remote that can rewind, fast forward, stop, and start time. What do you do with it?"
44,Would you rather control animals with your mind or electronics with your mind?
45,Would you rather be an average person in the present or a king of a large country 2500 years ago?
